# plate-fiber-mjd z_abs rEW_MgII rEWerr_MgII wlim_Chicago Wobs_MgII grade_chicago, type_chicago, z_qso_dr7 rEW_MgII_chicago rEWerr_MgII_chicago
       744-442-52251 1.027470 4.961849 0.399513 0.410000 5669.617108  A   MF 1.027800 4.961849 0.399513
       744-390-52251 1.229100 1.658517 0.204118 0.170000 6233.455240  C    M 3.302500 1.658517 0.204118
       744-390-52251 1.465630 0.842381 0.171964 0.170000 6894.887732  C    M 3.302500 0.842381 0.171964
       744-320-52251 1.237800 0.552775 0.098758 0.280000 6257.783920  E    M 3.832900 0.552775 0.098758
       744-320-52251 1.281210 1.808689 0.237155 0.280000 6379.175644  C    M 3.832900 1.808689 0.237155
       744-320-52251 1.508920 0.560002 0.126349 0.300000 7015.943888  B    M 3.832900 0.560002 0.126349
        744-33-52251 0.488800 2.675309 0.433235 0.520000 4163.280320  C    M 1.700100 2.675309 0.433235
      1311-317-52765 1.737080 1.272159 0.286071 0.350000 7653.970512  B    M 2.189900 1.272159 0.286071
      1311-496-52765 0.566300 0.795505 0.143012 0.180000 4380.001320  B    M 2.344100 0.795505 0.143012
      1311-615-52765 1.032490 0.483151 0.113654 0.270000 5683.655036  D    M 1.191200 0.483151 0.113654
      1311-263-52765 0.558370 0.524266 0.130264 0.160000 4357.825868  D    M 1.924600 0.524266 0.130264
      1311-263-52765 0.615390 0.661760 0.091000 0.160000 4517.276596 D*    M 1.924600 0.661760 0.091000
       1311-74-52765 0.886500 2.392791 0.375828 0.320000 5275.408600  C    M 3.277000 2.392791 0.375828
      1311-549-52765 1.569420 0.786170 0.060714 0.130000 7185.126088  B   MC 1.567100 0.786170 0.060714
      1311-332-52765 0.386840 1.408958 0.343226 0.360000 3878.159376  C    M 1.259900 1.408958 0.343226
      1311-476-52765 1.149520 0.664334 0.144218 0.200000 6010.917728  A   MF 1.669900 0.664334 0.144218
      1311-102-52765 1.141610 0.535111 0.128875 0.250000 5988.798204 C*    M 1.306700 0.535111 0.128875
      1311-348-52765 0.368650 0.658313 0.157089 0.270000 3827.292860  D    M 1.519600 0.658313 0.157089
      1568-330-53169 0.711740 0.690525 0.155397 0.280000 4786.709736  D    M 1.326800 0.690525 0.155397
      1568-344-53169 0.907760 0.671468 0.134713 0.260000 5334.860064 C*    M 2.074000 0.671468 0.134713
      1568-344-53169 1.852850 1.203008 0.173160 0.230000 7977.709740  D    M 2.074000 1.203008 0.173160
      1568-335-53169 0.825340 0.137509 0.031227 0.120000 5104.380776  C    M 0.814400 0.137509 0.031227
      1568-594-53169 1.393560 1.048647 0.050552 0.140000 6693.351184  A    M 1.399200 1.048647 0.050552
      1568-288-53169 1.017010 1.032717 0.103619 0.260000 5640.366764  A   MF 1.021000 1.032717 0.103619
      1568-425-53169 1.794730 1.097423 0.265500 0.370000 7815.182972  C    M 2.158800 1.097423 0.265500
      1568-204-53169 0.622120 0.461741 0.077060 0.460000 4536.096368  D    M 1.955600 0.461741 0.077060
      1568-204-53169 1.262470 1.012610 0.226301 0.290000 6326.771108  C    M 1.955600 1.012610 0.226301
       1568-14-53169 0.919770 0.452658 0.061466 0.080000 5368.444828  E    M 3.327500 0.452658 0.061466
