      0392-157-51793 1.8866   B 1  0.3 1
      0655-309-52162 1.2965   C 1  1.0 1
      0418-483-51817 0.3831   C 1  0.6 0
      0418-483-51817 1.7052   D 1  0.2 0
      0655-270-52162 1.7669   E 1  0.0 0
      0655-270-52162 0.9019   B 1  0.8 1
      0655-270-52162 0.9352   C 1  0.3 1
      0655-270-52162 0.8410   C 1  1.0 1
      0655-270-52162 1.9340   A 1  0.9 1
      0655-273-52162 1.2575   A 1  1.0 1
      0418-082-51817 1.1165   A 1  1.0 1
      0418-082-51817 0.4599   C 1  0.0 0
      0655-275-52162 1.6079   B 1  0.4 0
      0655-275-52162 0.9483   C 1  0.9 1
      0418-148-51817 1.3536   D 1  0.1 0
      0655-239-52162 1.7804   A 1  0.5 0
      0655-239-52162 1.7450   A 1  1.0 1
      0655-239-52162 0.9785  C* 1  0.2 1
      0655-239-52162 1.3241   D 1  0.3 0
      0655-239-52162 1.6239   C 1  0.1 0
      0393-315-51794 0.4638   C 1  0.7 0
      0393-315-51794 0.8247   C 1  0.8 1
      0393-315-51794 0.7405   D 1  0.1 0
      0393-315-51794 0.8093   E 1  0.0 0
      0393-315-51794 1.2466   B 1  0.9 1
      0393-315-51794 1.3016   C 1  0.9 1
      0393-315-51794 0.6121   C 1  0.2 0
      0393-315-51794 1.5656   B 1  0.6 1
      0393-315-51794 0.9508   C 1  0.2 0
      0393-315-51794 1.1978   A 1  1.0 1
      0393-315-51794 1.5348   B 1  0.8 1
      0655-211-52162 1.3159   C 1  0.5 0
      0419-349-51879 0.9224   B 1  1.0 1
      0655-217-52162 0.4582   C 1  0.5 1
      0655-217-52162 0.7005   C 1  1.0 1
      0393-317-51794 1.0503   C 1  0.9 0
      0393-317-51794 1.8286   D 1  0.0 0
      0393-317-51794 1.6214   A 1  1.0 1
      0418-569-51817 1.2792   D 1  0.1 0
      0393-353-51794 1.1884   E 1  0.1 0
      0393-353-51794 0.9386   A 1  1.0 1
      0393-338-51794 0.6300   A 1  1.0 1
      0393-338-51794 0.7381   A 1  1.0 1
      0393-338-51794 1.2975   A 1  0.9 1
      0393-338-51794 1.4730   C 1  0.6 1
      0393-338-51794 2.1170   A 1  1.0 0
      0393-338-51794 1.4455   D 1  0.1 0
      0418-052-51817 1.2970   A 1  1.0 1
      0418-052-51817 1.0016   C 1  0.8 1
      0418-052-51817 0.8191   D 1  0.0 0
      0418-052-51817 0.4154   C 1  0.1 0
      0655-181-52162 1.5487   A 1  1.0 1
      0655-181-52162 0.8606   C 1  0.9 0
      0655-134-52162 0.5683   C 1  0.2 0
      0655-134-52162 0.9771   A 1  0.9 1
      0392-623-51793 1.0180   A 1  1.0 1
      0392-623-51793 1.2825  C* 1  0.1 0
      0393-298-51794 0.7471   A 1  1.0 1
      0393-298-51794 2.0244   B 1  0.1 0
      0655-536-52162 1.4485   C 1  0.3 0
      0419-271-51879 1.4380   A 1  1.0 1
      0393-261-51794 1.6045   C 1  0.3 0
      0393-261-51794 1.8353   C 1  0.1 0
      0655-084-52162 0.5925   C 1  0.3 0
      0655-084-52162 0.5448   A 1  0.7 1
      0392-631-51793 1.5066   D 1  0.1 0
      0419-387-51879 0.8597  C* 1  0.5 1
      0656-345-52148 0.8778   C 1  0.6 0
      0418-003-51817 0.7363   C 1  0.1 0
      0419-323-51879 1.2329   B 1  0.2 0
      0419-323-51879 0.6600   C 1  0.3 0
      0393-250-51794 0.8956   D 1  0.3 1
